number,company,symbol,ytd_return
1,NVIDIA CORP,NVDA,58.59%
2,META PLATFORMS INC CLASS A,META,37.34%
3,ELI LILLY + CO,LLY,32.03%
4,CATALENT INC,CTLT,29.98%
5,TAPESTRY INC,TPR,29.86%
6,RALPH LAUREN CORP,RL,29.77%
7,UBER TECHNOLOGIES INC,UBER,26.73%
8,JUNIPER NETWORKS INC,JNPR,26.05%
9,ADVANCED MICRO DEVICES,AMD,23.37%
10,VIATRIS INC,VTRS,23.36%
11,APPLIED MATERIALS INC,AMAT,23.24%
12,WR BERKLEY CORP,WRB,21.20%
13,NETFLIX INC,NFLX,20.87%
14,LAM RESEARCH CORP,LRCX,20.57%
15,PROGRESSIVE CORP,PGR,20.35%
16,HOWMET AEROSPACE INC,HWM,20.21%
17,WALT DISNEY CO/THE,DIS,19.22%
18,GENERAL ELECTRIC CO,GE,18.84%
19,MERCK + CO. INC.,MRK,18.57%
20,SOUTHWEST AIRLINES CO,LUV,18.56%
21,BROWN + BROWN INC,BRO,18.30%
22,EATON CORP PLC,ETN,18.17%
23,STRYKER CORP,SYK,17.93%
24,TRANSDIGM GROUP INC,TDG,17.93%
25,KLA CORP,KLAC,17.63%
26,HARTFORD FINANCIAL SVCS GRP,HIG,17.59%
27,MONOLITHIC POWER SYSTEMS INC,MPWR,17.52%
28,INGERSOLL RAND INC,IR,17.39%
29,DAVITA INC,DVA,17.29%
30,BROADCOM INC,AVGO,16.90%
31,TRAVELERS COS INC/THE,TRV,16.70%
32,BERKSHIRE HATHAWAY INC CL B,BRK.B,16.40%
33,FORTIVE CORP,FTV,16.38%
34,TRANE TECHNOLOGIES PLC,TT,15.74%
35,WASTE MANAGEMENT INC,WM,15.71%
36,WW GRAINGER INC,GWW,15.63%
37,HCA HEALTHCARE INC,HCA,15.58%
38,ARCH CAPITAL GROUP LTD,ACGL,15.55%
39,ALIGN TECHNOLOGY INC,ALGN,15.53%
40,BOSTON SCIENTIFIC CORP,BSX,15.45%
41,TRIMBLE INC,TRMB,15.41%
42,INTUITIVE SURGICAL INC,ISRG,15.33%
43,LEIDOS HOLDINGS INC,LDOS,15.25%
44,PARKER HANNIFIN CORP,PH,15.04%
45,WILLIS TOWERS WATSON PLC,WTW,15.00%
46,EDWARDS LIFESCIENCES CORP,EW,14.91%
47,AMAZON.COM INC,AMZN,14.90%
48,UNITED RENTALS INC,URI,14.89%
49,CHIPOTLE MEXICAN GRILL INC,CMG,14.88%
50,ALLSTATE CORP,ALL,14.44%
51,FORTINET INC,FTNT,14.40%
52,THE CIGNA GROUP,CI,14.26%
53,AMERICAN EXPRESS CO,AXP,14.23%
54,CORTEVA INC,CTVA,14.17%
55,CENCORA INC,COR,14.13%
56,ARISTA NETWORKS INC,ANET,14.12%
57,CONSTELLATION ENERGY,CEG,14.12%
58,ABBVIE INC,ABBV,14.05%
59,AIRBNB INC CLASS A,ABNB,14.04%
60,DIAMONDBACK ENERGY INC,FANG,13.96%
61,GE HEALTHCARE TECHNOLOGY,GEHC,13.35%
62,TARGA RESOURCES CORP,TRGP,13.23%
63,VULCAN MATERIALS CO,VMC,13.18%
64,PACCAR INC,PCAR,13.18%
65,MARATHON PETROLEUM CORP,MPC,13.07%
66,CHUBB LTD,CB,13.03%
67,FISERV INC,FI,13.00%
68,BUILDERS FIRSTSOURCE INC,BLDR,12.84%
69,SYNOPSYS INC,SNPS,12.82%
70,INTL BUSINESS MACHINES CORP,IBM,12.63%
71,JACOBS SOLUTIONS INC,J,12.43%
72,WYNN RESORTS LTD,WYNN,12.41%
73,CADENCE DESIGN SYS INC,CDNS,12.19%
74,MOLINA HEALTHCARE INC,MOH,11.89%
75,SALESFORCE INC,CRM,11.59%
76,TRACTOR SUPPLY COMPANY,TSCO,11.48%
77,WALMART INC,WMT,11.27%
78,COSTCO WHOLESALE CORP,COST,11.26%
79,FASTENAL CO,FAST,11.26%
80,HILTON WORLDWIDE HOLDINGS IN,HLT,11.18%
81,REPUBLIC SERVICES INC,RSG,11.17%
82,ULTA BEAUTY INC,ULTA,11.03%
83,O REILLY AUTOMOTIVE INC,ORLY,11.02%
84,MASCO CORP,MAS,10.97%
85,AMERICAN AIRLINES GROUP INC,AAL,10.92%
86,HUBBELL INC,HUBB,10.88%
87,ECOLAB INC,ECL,10.77%
88,FAIR ISAAC CORP,FICO,10.67%
89,HUNTINGTON INGALLS INDUSTRIE,HII,10.65%
90,MASTERCARD INC   A,MA,10.56%
91,MARRIOTT INTERNATIONAL  CL A,MAR,10.55%
92,MCKESSON CORP,MCK,10.22%
93,PHILLIPS 66,PSX,10.12%
94,JABIL INC,JBL,10.11%
95,MOHAWK INDUSTRIES INC,MHK,10.08%
96,BOOKING HOLDINGS INC,BKNG,10.00%
97,SYSCO CORP,SYY,10.00%
98,MARTIN MARIETTA MATERIALS,MLM,9.87%
99,REGENERON PHARMACEUTICALS,REGN,9.86%
100,CUMMINS INC,CMI,9.73%
101,UNITED AIRLINES HOLDINGS INC,UAL,9.69%
102,PROCTER + GAMBLE CO/THE,PG,9.57%
103,GENERAL MOTORS CO,GM,9.52%
104,CBOE GLOBAL MARKETS INC,CBOE,9.50%
105,MICROSOFT CORP,MSFT,9.47%
106,XYLEM INC,XYL,9.39%
107,EQUINIX INC,EQIX,9.37%
108,AUTOMATIC DATA PROCESSING,ADP,9.35%
109,CSX CORP,CSX,9.29%
110,DANAHER CORP,DHR,9.25%
111,LAS VEGAS SANDS CORP,LVS,9.02%
112,VISA INC CLASS A SHARES,V,8.99%
113,CATERPILLAR INC,CAT,8.94%
114,CDW CORP/DE,CDW,8.90%
115,SERVICENOW INC,NOW,8.88%
116,LINDE PLC,LIN,8.84%
117,ARTHUR J GALLAGHER + CO,AJG,8.80%
118,CITIGROUP INC,C,8.67%
119,BAXTER INTERNATIONAL INC,BAX,8.67%
120,ELEVANCE HEALTH INC,ELV,8.61%
121,WABTEC CORP,WAB,8.61%
122,LKQ CORP,LKQ,8.52%
123,INTERCONTINENTAL EXCHANGE IN,ICE,8.46%
124,WELLS FARGO + CO,WFC,8.43%
125,NORFOLK SOUTHERN CORP,NSC,8.38%
126,AON PLC CLASS A,AON,8.36%
127,CINCINNATI FINANCIAL CORP,CINF,8.36%
128,IDEX CORP,IEX,8.30%
129,BATH + BODY WORKS INC,BBWI,8.18%
130,EMERSON ELECTRIC CO,EMR,8.18%
131,ABBOTT LABORATORIES,ABT,8.13%
132,AMETEK INC,AME,8.08%
133,VERIZON COMMUNICATIONS INC,VZ,8.04%
134,NEWS CORP   CLASS A,NWSA,7.98%
135,QUANTA SERVICES INC,PWR,7.94%
136,UNIVERSAL HEALTH SERVICES B,UHS,7.90%
137,CENTENE CORP,CNC,7.90%
138,COLGATE PALMOLIVE CO,CL,7.89%
139,MARSH + MCLENNAN COS,MMC,7.81%
140,OLD DOMINION FREIGHT LINE,ODFL,7.80%
141,LOEWS CORP,L,7.64%
142,JPMORGAN CHASE + CO,JPM,7.62%
143,NVR INC,NVR,7.61%
144,VALERO ENERGY CORP,VLO,7.52%
145,NEWS CORP   CLASS B,NWS,7.43%
146,AMPHENOL CORP CL A,APH,7.38%
147,STERIS PLC,STE,7.36%
148,CORNING INC,GLW,7.36%
149,NUCOR CORP,NUE,7.25%
150,EQUIFAX INC,EFX,7.23%
151,HOME DEPOT INC,HD,7.15%
152,BALL CORP,BALL,7.13%
153,AVERY DENNISON CORP,AVY,7.05%
154,CLOROX COMPANY,CLX,7.02%
155,QUALCOMM INC,QCOM,7.00%
156,DAYFORCE INC,DAY,6.96%
157,IQVIA HOLDINGS INC,IQV,6.89%
158,DISCOVER FINANCIAL SERVICES,DFS,6.81%
159,FIDELITY NATIONAL INFO SERV,FIS,6.71%
160,AUTOZONE INC,AZO,6.70%
161,RESMED INC,RMD,6.44%
162,RTX CORP,RTX,6.41%
163,BANK OF NEW YORK MELLON CORP,BK,6.36%
164,WESTERN DIGITAL CORP,WDC,6.36%
165,PACKAGING CORP OF AMERICA,PKG,6.32%
166,CARDINAL HEALTH INC,CAH,6.30%
167,JACK HENRY + ASSOCIATES INC,JKHY,6.26%
168,RAYMOND JAMES FINANCIAL INC,RJF,6.24%
169,SIMON PROPERTY GROUP INC,SPG,6.22%
170,HOLOGIC INC,HOLX,6.20%
171,AMERIPRISE FINANCIAL INC,AMP,6.19%
172,TEXTRON INC,TXT,6.17%
173,ROSS STORES INC,ROST,6.15%
174,HOST HOTELS + RESORTS INC,HST,6.11%
175,DOVER CORP,DOV,6.03%
176,WESTROCK CO,WRK,5.83%
177,ACCENTURE PLC CL A,ACN,5.81%
178,MOTOROLA SOLUTIONS INC,MSI,5.73%
179,STEEL DYNAMICS INC,STLD,5.66%
180,HUNT (JB) TRANSPRT SVCS INC,JBHT,5.65%
181,TJX COMPANIES INC,TJX,5.65%
182,ZIMMER BIOMET HOLDINGS INC,ZBH,5.62%
183,THERMO FISHER SCIENTIFIC INC,TMO,5.60%
184,TARGET CORP,TGT,5.56%
185,AUTODESK INC,ADSK,5.54%
186,GENUINE PARTS CO,GPC,5.50%
187,CHURCH + DWIGHT CO INC,CHD,5.37%
188,ASSURANT INC,AIZ,5.32%
189,ORACLE CORP,ORCL,5.29%
190,INTUIT INC,INTU,5.26%
191,COGNIZANT TECH SOLUTIONS A,CTSH,5.20%
192,AXON ENTERPRISE INC,AXON,5.11%
193,YUM  BRANDS INC,YUM,5.10%
194,ONEOK INC,OKE,4.98%
195,ELECTRONIC ARTS INC,EA,4.90%
196,VERTEX PHARMACEUTICALS INC,VRTX,4.89%
197,GENERAL DYNAMICS CORP,GD,4.88%
198,BIO RAD LABORATORIES A,BIO,4.83%
199,EXXON MOBIL CORP,XOM,4.78%
200,EVEREST GROUP LTD,EG,4.77%
201,PAYCHEX INC,PAYX,4.70%
202,DELTA AIR LINES INC,DAL,4.70%
203,KROGER CO,KR,4.66%
204,GLOBE LIFE INC,GL,4.63%
205,AMERICAN INTERNATIONAL GROUP,AIG,4.62%
206,VERALTO CORP,VLTO,4.47%
207,PRUDENTIAL FINANCIAL INC,PRU,4.45%
208,CHARLES RIVER LABORATORIES,CRL,4.44%
209,TYLER TECHNOLOGIES INC,TYL,4.42%
210,GLOBAL PAYMENTS INC,GPN,4.29%
211,NXP SEMICONDUCTORS NV,NXPI,4.28%
212,CHEVRON CORP,CVX,4.20%
213,GARMIN LTD,GRMN,4.20%
214,METLIFE INC,MET,4.13%
215,DOLLAR GENERAL CORP,DG,4.06%
216,CINTAS CORP,CTAS,4.06%
217,WELLTOWER INC,WELL,4.05%
218,PIONEER NATURAL RESOURCES CO,PXD,4.02%
219,SYNCHRONY FINANCIAL,SYF,3.95%
220,DOMINO S PIZZA INC,DPZ,3.83%
221,HERSHEY CO/THE,HSY,3.81%
222,HESS CORP,HES,3.80%
223,COCA COLA CO/THE,KO,3.77%
224,UNION PACIFIC CORP,UNP,3.62%
225,LOWE S COS INC,LOW,3.58%
226,PENTAIR PLC,PNR,3.55%
227,NORDSON CORP,NDSN,3.52%
228,CME GROUP INC,CME,3.51%
229,LYONDELLBASELL INDU CL A,LYB,3.38%
230,F5 INC,FFIV,3.36%
231,COOPER COS INC/THE,COO,3.35%
232,OTIS WORLDWIDE CORP,OTIS,3.29%
233,MEDTRONIC PLC,MDT,3.25%
234,COTERRA ENERGY INC,CTRA,3.17%
235,ALPHABET INC CL A,GOOGL,3.15%
236,ALPHABET INC CL C,GOOG,3.12%
237,SEAGATE TECHNOLOGY HOLDINGS,STX,3.10%
238,LENNAR CORP A,LEN,3.03%
239,IRON MOUNTAIN INC,IRM,3.03%
240,T ROWE PRICE GROUP INC,TROW,2.98%
241,IDEXX LABORATORIES INC,IDXX,2.93%
242,DIGITAL REALTY TRUST INC,DLR,2.82%
243,SHERWIN WILLIAMS CO/THE,SHW,2.80%
244,CAPITAL ONE FINANCIAL CORP,COF,2.62%
245,DARDEN RESTAURANTS INC,DRI,2.54%
246,PTC INC,PTC,2.53%
247,EPAM SYSTEMS INC,EPAM,2.42%
248,MOLSON COORS BEVERAGE CO   B,TAP,2.37%
249,JOHNSON + JOHNSON,JNJ,2.37%
250,MONDELEZ INTERNATIONAL INC A,MDLZ,2.35%
251,ALLEGION PLC,ALLE,2.34%
252,ZEBRA TECHNOLOGIES CORP CL A,ZBRA,2.25%
253,TE CONNECTIVITY LTD,TEL,2.23%
254,WEST PHARMACEUTICAL SERVICES,WST,2.21%
255,PRINCIPAL FINANCIAL GROUP,PFG,2.12%
256,DOW INC,DOW,2.12%
257,OMNICOM GROUP,OMC,2.08%
258,T MOBILE US INC,TMUS,2.01%
259,KELLANOVA,K,1.91%
260,DOLLAR TREE INC,DLTR,1.91%
261,ROPER TECHNOLOGIES INC,ROP,1.86%
262,HENRY SCHEIN INC,HSIC,1.81%
263,FIRSTENERGY CORP,FE,1.75%
264,ESTEE LAUDER COMPANIES CL A,EL,1.65%
265,CONSTELLATION BRANDS INC A,STZ,1.63%
266,EBAY INC,EBAY,1.51%
267,PULTEGROUP INC,PHM,1.41%
268,ALTRIA GROUP INC,MO,1.39%
269,OCCIDENTAL PETROLEUM CORP,OXY,1.37%
270,L3HARRIS TECHNOLOGIES INC,LHX,1.33%
271,BROWN FORMAN CORP CLASS B,BF.B,1.26%
272,GOLDMAN SACHS GROUP INC,GS,1.22%
273,HUNTINGTON BANCSHARES INC,HBAN,1.10%
274,JOHNSON CONTROLS INTERNATION,JCI,1.09%
275,AMERICAN ELECTRIC POWER,AEP,0.96%
276,COPART INC,CPRT,0.84%
277,QORVO INC,QRVO,0.75%
278,MICRON TECHNOLOGY INC,MU,0.67%
279,M + T BANK CORP,MTB,0.66%
280,FOX CORP   CLASS A,FOXA,0.61%
281,GARTNER INC,IT,0.52%
282,VERISK ANALYTICS INC,VRSK,0.48%
283,WATERS CORP,WAT,0.40%
284,EXELON CORP,EXC,0.36%
285,NRG ENERGY INC,NRG,0.35%
286,ENTERGY CORP,ETR,0.33%
287,CF INDUSTRIES HOLDINGS INC,CF,0.25%
288,BLACKROCK INC,BLK,0.20%
289,WILLIAMS COS INC,WMB,0.20%
290,PROLOGIS INC,PLD,0.11%
291,BRISTOL MYERS SQUIBB CO,BMY,0.04%
292,UNITEDHEALTH GROUP INC,UNH,0.01%
293,MODERNA INC,MRNA,-0.01%
294,MSCI INC,MSCI,-0.03%
295,BECTON DICKINSON AND CO,BDX,-0.09%
296,GENERAL MILLS INC,GIS,-0.11%
297,LIVE NATION ENTERTAINMENT IN,LYV,-0.12%
298,BANK OF AMERICA CORP,BAC,-0.18%
299,MCDONALD S CORP,MCD,-0.20%
300,STARBUCKS CORP,SBUX,-0.24%
301,KEYCORP,KEY,-0.35%
302,ZOETIS INC,ZTS,-0.36%
303,KIMBERLY CLARK CORP,KMB,-0.38%
304,FORD MOTOR CO,F,-0.57%
305,INTERPUBLIC GROUP OF COS INC,IPG,-0.58%
306,MARATHON OIL CORP,MRO,-0.75%
307,FOX CORP   CLASS B,FOX,-0.87%
308,MCCORMICK + CO NON VTG SHRS,MKC,-0.92%
309,PPL CORP,PPL,-0.92%
310,PEPSICO INC,PEP,-0.94%
311,AMGEN INC,AMGN,-0.99%
312,MATCH GROUP INC,MTCH,-1.04%
313,AT+T INC,T,-1.13%
314,EQUITY RESIDENTIAL,EQR,-1.18%
315,S+P GLOBAL INC,SPGI,-1.20%
316,TYSON FOODS INC CL A,TSN,-1.23%
317,ILLINOIS TOOL WORKS,ITW,-1.25%
318,PUBLIC SERVICE ENTERPRISE GP,PEG,-1.28%
319,CONAGRA BRANDS INC,CAG,-1.33%
320,ATMOS ENERGY CORP,ATO,-1.48%
321,KRAFT HEINZ CO/THE,KHC,-1.54%
322,CMS ENERGY CORP,CMS,-1.60%
323,JM SMUCKER CO/THE,SJM,-1.65%
324,METTLER TOLEDO INTERNATIONAL,MTD,-1.66%
325,CBRE GROUP INC   A,CBRE,-1.68%
326,HASBRO INC,HAS,-1.76%
327,INTL FLAVORS + FRAGRANCES,IFF,-1.86%
328,NISOURCE INC,NI,-1.92%
329,AMEREN CORPORATION,AEE,-2.12%
330,KINDER MORGAN INC,KMI,-2.15%
331,MOODY S CORP,MCO,-2.22%
332,SMITH (A.O.) CORP,AOS,-2.22%
333,PINNACLE WEST CAPITAL,PNW,-2.27%
334,HALLIBURTON CO,HAL,-2.35%
335,CVS HEALTH CORP,CVS,-2.36%
336,NORTHROP GRUMMAN CORP,NOC,-2.37%
337,CAMPBELL SOUP CO,CPB,-2.38%
338,FLEETCOR TECHNOLOGIES INC,FLT,-2.40%
339,NETAPP INC,NTAP,-2.42%
340,CENTERPOINT ENERGY INC,CNP,-2.45%
341,ILLUMINA INC,ILMN,-2.65%
342,NASDAQ INC,NDAQ,-2.72%
343,BLACKSTONE INC,BX,-2.77%
344,BROADRIDGE FINANCIAL SOLUTIO,BR,-2.87%
345,INVITATION HOMES INC,INVH,-2.90%
346,DEVON ENERGY CORP,DVN,-2.94%
347,DTE ENERGY COMPANY,DTE,-2.94%
348,TEXAS INSTRUMENTS INC,TXN,-2.95%
349,DOMINION ENERGY INC,D,-2.98%
350,INCYTE CORP,INCY,-2.99%
351,PHILIP MORRIS INTERNATIONAL,PM,-3.07%
352,WEYERHAEUSER CO,WY,-3.11%
353,FIFTH THIRD BANCORP,FITB,-3.16%
354,NIKE INC  CL B,NKE,-3.21%
355,CONOCOPHILLIPS,COP,-3.32%
356,ANALOG DEVICES INC,ADI,-3.35%
357,CONSOLIDATED EDISON INC,ED,-3.36%
358,TELEDYNE TECHNOLOGIES INC,TDY,-3.44%
359,AFLAC INC,AFL,-3.45%
360,EQT CORP,EQT,-3.47%
361,TRUIST FINANCIAL CORP,TFC,-3.47%
362,FEDEX CORP,FDX,-3.48%
363,EVERGY INC,EVRG,-3.72%
364,CELANESE CORP,CE,-3.75%
365,EOG RESOURCES INC,EOG,-3.76%
366,HP INC,HPQ,-3.79%
367,EASTMAN CHEMICAL CO,EMN,-3.80%
368,FACTSET RESEARCH SYSTEMS INC,FDS,-3.81%
369,FEDERAL REALTY INVS TRUST,FRT,-3.83%
370,CISCO SYSTEMS INC,CSCO,-3.86%
371,BEST BUY CO INC,BBY,-3.92%
372,AMCOR PLC,AMCR,-3.94%
373,LAMB WESTON HOLDINGS INC,LW,-4.01%
374,SOUTHERN CO/THE,SO,-4.05%
375,PPG INDUSTRIES INC,PPG,-4.13%
376,XCEL ENERGY INC,XEL,-4.17%
377,LABORATORY CRP OF AMER HLDGS,LH,-4.19%
378,ROLLINS INC,ROL,-4.21%
379,APPLE INC,AAPL,-4.24%
380,HONEYWELL INTERNATIONAL INC,HON,-4.24%
381,PFIZER INC,PFE,-4.31%
382,MONSTER BEVERAGE CORP,MNST,-4.34%
383,COMCAST CORP CLASS A,CMCSA,-4.42%
384,US BANCORP,USB,-4.46%
385,ALEXANDRIA REAL ESTATE EQUIT,ARE,-4.50%
386,DR HORTON INC,DHI,-4.51%
387,REVVITY INC,RVTY,-4.52%
388,CAMDEN PROPERTY TRUST,CPT,-4.56%
389,SEMPRA,SRE,-4.56%
390,INTERNATIONAL PAPER CO,IP,-4.59%
391,TELEFLEX INC,TFX,-4.67%
392,GEN DIGITAL INC,GEN,-4.69%
393,UNITED PARCEL SERVICE CL B,UPS,-4.77%
394,POOL CORP,POOL,-4.92%
395,EXPEDITORS INTL WASH INC,EXPD,-4.95%
396,PAYPAL HOLDINGS INC,PYPL,-4.98%
397,CARMAX INC,KMX,-5.02%
398,MGM RESORTS INTERNATIONAL,MGM,-5.04%
399,AGILENT TECHNOLOGIES INC,A,-5.04%
400,DUKE ENERGY CORP,DUK,-5.06%
401,ALLIANT ENERGY CORP,LNT,-5.20%
402,NORTHERN TRUST CORP,NTRS,-5.21%
403,TAKE TWO INTERACTIVE SOFTWRE,TTWO,-5.29%
404,DEXCOM INC,DXCM,-5.31%
405,SCHLUMBERGER LTD,SLB,-5.34%
406,ROYAL CARIBBEAN CRUISES LTD,RCL,-5.35%
407,LOCKHEED MARTIN CORP,LMT,-5.37%
408,TERADYNE INC,TER,-5.57%
409,UDR INC,UDR,-5.59%
410,COSTAR GROUP INC,CSGP,-5.63%
411,DENTSPLY SIRONA INC,XRAY,-5.68%
412,VERISIGN INC,VRSN,-5.68%
413,EDISON INTERNATIONAL,EIX,-5.69%
414,HORMEL FOODS CORP,HRL,-5.70%
415,EVERSOURCE ENERGY,ES,-5.85%
416,MID AMERICA APARTMENT COMM,MAA,-5.85%
417,AVALONBAY COMMUNITIES INC,AVB,-5.93%
418,REGIONS FINANCIAL CORP,RF,-5.93%
419,SCHWAB (CHARLES) CORP,SCHW,-6.06%
420,SNAP ON INC,SNA,-6.10%
421,PNC FINANCIAL SERVICES GROUP,PNC,-6.11%
422,ON SEMICONDUCTOR,ON,-6.19%
423,ANSYS INC,ANSS,-6.21%
424,CITIZENS FINANCIAL GROUP,CFG,-6.22%
425,CARRIER GLOBAL CORP,CARR,-6.27%
426,CROWN CASTLE INC,CCI,-6.27%
427,KEYSIGHT TECHNOLOGIES IN,KEYS,-6.32%
428,PUBLIC STORAGE,PSA,-6.43%
429,STATE STREET CORP,STT,-6.51%
430,ENPHASE ENERGY INC,ENPH,-6.58%
431,BUNGE GLOBAL SA,BG,-6.66%
432,SKYWORKS SOLUTIONS INC,SWKS,-6.66%
433,NEXTERA ENERGY INC,NEE,-6.70%
434,BOSTON PROPERTIES INC,BXP,-6.76%
435,VICI PROPERTIES INC,VICI,-6.84%
436,MICROCHIP TECHNOLOGY INC,MCHP,-6.96%
437,BIO TECHNE CORP,TECH,-7.00%
438,WEC ENERGY GROUP INC,WEC,-7.03%
439,KIMCO REALTY CORP,KIM,-7.04%
440,ESSEX PROPERTY TRUST INC,ESS,-7.26%
441,P G + E CORP,PCG,-7.65%
442,MORGAN STANLEY,MS,-7.94%
443,REALTY INCOME CORP,O,-8.01%
444,EXPEDIA GROUP INC,EXPE,-8.36%
445,WHIRLPOOL CORP,WHR,-8.46%
446,REGENCY CENTERS CORP,REG,-8.85%
447,KEURIG DR PEPPER INC,KDP,-8.85%
448,FRANKLIN RESOURCES INC,BEN,-8.96%
449,QUEST DIAGNOSTICS INC,DGX,-9.09%
450,DUPONT DE NEMOURS INC,DD,-9.10%
451,INSULET CORP,PODD,-9.14%
452,FREEPORT MCMORAN INC,FCX,-9.16%
453,PALO ALTO NETWORKS INC,PANW,-9.18%
454,AMERICAN WATER WORKS CO INC,AWK,-9.33%
455,STANLEY BLACK + DECKER INC,SWK,-9.61%
456,ZIONS BANCORP NA,ZION,-9.62%
457,ROBERT HALF INC,RHI,-9.62%
458,AKAMAI TECHNOLOGIES INC,AKAM,-9.63%
459,MOSAIC CO/THE,MOS,-9.82%
460,ADOBE INC,ADBE,-9.89%
461,GILEAD SCIENCES INC,GILD,-10.16%
462,ROCKWELL AUTOMATION INC,ROK,-10.26%
463,COMERICA INC,CMA,-10.48%
464,DEERE + CO,DE,-10.78%
465,KENVUE INC,KVUE,-10.87%
466,LULULEMON ATHLETICA INC,LULU,-10.96%
467,HEWLETT PACKARD ENTERPRISE,HPE,-11.25%
468,VENTAS INC,VTR,-11.54%
469,CAESARS ENTERTAINMENT INC,CZR,-11.54%
470,EXTRA SPACE STORAGE INC,EXR,-11.81%
471,PAYCOM SOFTWARE INC,PAYC,-12.10%
472,INVESCO LTD,IVZ,-12.44%
473,ETSY INC,ETSY,-12.87%
474,AMERICAN TOWER CORP,AMT,-12.91%
475,APTIV PLC,APTV,-13.29%
476,GENERAC HOLDINGS INC,GNRC,-13.53%
477,BIOGEN INC,BIIB,-14.02%
478,INTEL CORP,INTC,-14.47%
479,BAKER HUGHES CO,BKR,-14.57%
480,C.H. ROBINSON WORLDWIDE INC,CHRW,-14.75%
481,BORGWARNER INC,BWA,-14.90%
482,HEALTHPEAK PROPERTIES INC,PEAK,-15.20%
483,VF CORP,VFC,-15.43%
484,AIR PRODUCTS + CHEMICALS INC,APD,-15.45%
485,3M CO,MMM,-15.63%
486,APA CORP,APA,-15.77%
487,FIRST SOLAR INC,FSLR,-15.99%
488,WARNER BROS DISCOVERY INC,WBD,-15.99%
489,SBA COMMUNICATIONS CORP,SBAC,-16.75%
490,AES CORP,AES,-16.88%
491,WALGREENS BOOTS ALLIANCE INC,WBA,-17.39%
492,CARNIVAL CORP,CCL,-17.96%
493,FMC CORP,FMC,-18.08%
494,ALBEMARLE CORP,ALB,-18.20%
495,NORWEGIAN CRUISE LINE HOLDIN,NCLH,-18.46%
496,HUMANA INC,HUM,-19.60%
497,TESLA INC,TSLA,-20.55%
498,PARAMOUNT GLOBAL CLASS B,PARA,-20.82%
499,BOEING CO/THE,BA,-22.70%
500,CHARTER COMMUNICATIONS INC A,CHTR,-23.59%
501,NEWMONT CORP,NEM,-25.37%
502,ARCHER DANIELS MIDLAND CO,ADM,-25.64%
503,MARKETAXESS HOLDINGS INC,MKTX,-27.08%
